,layer,benchmark,model,score,error
403,encoder.albert_layer_groups.11,stories_froi_bold4s-encoding,albert-base-v1,0.049373756607123176,0.003346030933891832
416,encoder.albert_layer_groups.11,stories_froi_bold4s-encoding,albert-base-v2,0.09071323941860991,0.0050439280275350225
427,encoder.albert_layer_groups.9,stories_froi_bold4s-encoding,albert-large-v1,0.047303242259634455,0.005400682348205657
457,encoder.albert_layer_groups.14,stories_froi_bold4s-encoding,albert-large-v2,0.07914150339240485,0.004956257134542197
486,encoder.albert_layer_groups.18,stories_froi_bold4s-encoding,albert-xlarge-v1,0.028089610612697352,0.008110632897945357
499,encoder.albert_layer_groups.6,stories_froi_bold4s-encoding,albert-xlarge-v2,0.04596928553995858,0.009661117318116209
520,encoder.albert_layer_groups.2,stories_froi_bold4s-encoding,albert-xxlarge-v1,0.06642097649575886,0.00801562457728193
533,encoder.albert_layer_groups.2,stories_froi_bold4s-encoding,albert-xxlarge-v2,0.053489685274994925,0.003457267444979673
37,encoder.layer.5.output,stories_froi_bold4s-encoding,bert-base-multilingual-cased,0.04785796024065697,0.014371953717328344
27,encoder.layer.8.output,stories_froi_bold4s-encoding,bert-base-uncased,0.05311657029052918,0.019716834005233223
68,encoder.layer.23.output,stories_froi_bold4s-encoding,bert-large-uncased,0.10809873652609457,0.013793509541204407
91,encoder.layer.21.output,stories_froi_bold4s-encoding,bert-large-uncased-whole-word-masking,0.06991744064154214,0.010658323972559329
100,transformer.layer.5,stories_froi_bold4s-encoding,distilbert-base-uncased,0.042340168043062155,0.014196384539394168
151,encoder.h.4,stories_froi_bold4s-encoding,distilgpt2,0.052024194032647235,0.009637062341288461
107,encoder.layer.5,stories_froi_bold4s-encoding,distilroberta-base,0.03380674392044395,0.006332186116455075
2,projection,stories_froi_bold4s-encoding,glove,0.00787441734641265,0.009886835264708745
163,encoder.h.9,stories_froi_bold4s-encoding,gpt2,0.06426937597410044,0.008110251236540527
212,encoder.h.20,stories_froi_bold4s-encoding,gpt2-large,0.07534368687697163,0.01718428067149969
181,encoder.h.14,stories_froi_bold4s-encoding,gpt2-medium,0.05830134534755498,0.008301348137019639
253,encoder.h.24,stories_froi_bold4s-encoding,gpt2-xl,0.09904836122751881,0.019964462754787513
5,lstm/lstm_1/control_dependency,stories_froi_bold4s-encoding,lm_1b,0.07564929605004829,0.008857527133396985
120,encoder.layer.11,stories_froi_bold4s-encoding,roberta-base,0.06751417225117409,0.010080306574556035
145,encoder.layer.23,stories_froi_bold4s-encoding,roberta-large,0.051289951158987955,0.00035101969852089254
1,encoder,stories_froi_bold4s-encoding,skip-thoughts,0.0008699393339816012,0.0031199337008655198
631,encoder.block.17,stories_froi_bold4s-encoding,t5-11b,0.06559946195487813,0.007094760984168697
610,encoder.block.21,stories_froi_bold4s-encoding,t5-3b,0.058003282183528654,0.013010382939548787
557,encoder.block.6,stories_froi_bold4s-encoding,t5-base,0.04083052254270146,0.013769202063295446
583,encoder.block.19,stories_froi_bold4s-encoding,t5-large,0.06367596796109906,0.003214763144921173
549,encoder.block.5,stories_froi_bold4s-encoding,t5-small,0.029755385978641215,0.010184981069937595
3,projection,stories_froi_bold4s-encoding,topicETM,-0.005620365748557267,0.0013558759446774976
291,encoder.layers.13,stories_froi_bold4s-encoding,transfo-xl-wt103,0.0678534492358414,0.012985177436855459
9,encoder.transformer.1.feed_forward.dropout_2,stories_froi_bold4s-encoding,transformer,0.014459429361503177,0.006166593403035151
0,projection,stories_froi_bold4s-encoding,word2vec,0.0013144816899020749,0.003961990139851379
373,encoder.layer_norm2.5,stories_froi_bold4s-encoding,xlm-clm-enfr-1024,0.04422603516570287,0.0060351827990759496
390,encoder.layer_norm2.15,stories_froi_bold4s-encoding,xlm-mlm-100-1280,0.028913375324159635,0.002131396413199535
346,encoder.layer_norm2.11,stories_froi_bold4s-encoding,xlm-mlm-en-2048,0.052904301624715266,0.010598865535694684
353,encoder.layer_norm2.5,stories_froi_bold4s-encoding,xlm-mlm-enfr-1024,0.033891499005839286,0.0010154891050055631
366,encoder.layer_norm2.11,stories_froi_bold4s-encoding,xlm-mlm-xnli15-1024,0.08860305411119924,0.012580937834275009
308,encoder.layer.11,stories_froi_bold4s-encoding,xlnet-base-cased,0.06247391347668554,0.004423041975055467
333,encoder.layer.23,stories_froi_bold4s-encoding,xlnet-large-cased,0.07532382741147664,0.0024701839114079174
